Category,Sentence,Pattern,Highlights
Prepositions,"Chilling on the couch, reading about the Prime Minister.",noun + preposition + noun,"{""special"": [""on""]}"
Present simple,"Oh, what's he done now?",Subject + verb (present),"{""verbs"": [""'s""]}"
To be,"Oh, what's he done now?",Subject + to be,"{""special"": [""'s""]}"
Questions,"Oh, what's he done now?",Question word + aux + subject + verb,"{""special"": [""what""]}"
Can/Could,"Dad, can you play a song on your phone for us?",pronouns + can/could + verb,"{""verbs"": [], ""special"": [""can""]}"
Questions,"Dad, can you play a song on your phone for us?",Question word + aux + subject + verb,"{""special"": [""can""]}"
Prepositions,"Dad, can you play a song on your phone for us?",noun + preposition + noun,"{""special"": [""on""]}"
Possessives,"Dad, can you play a song on your phone for us?",possessive + noun,"{""special"": [""your""]}"
Present simple,"Ah... yeah, OK. As long as it's not too annoying.",Subject + verb (present),"{""verbs"": [""'s""]}"
To be,"Ah... yeah, OK. As long as it's not too annoying.",Subject + to be,"{""special"": [""'s""]}"
Present simple,"No, it's not annoying.",Subject + verb (present),"{""verbs"": [""'s""]}"
To be,"No, it's not annoying.",Subject + to be,"{""special"": [""'s""]}"
Present simple,What's it called?,Subject + verb (present),"{""verbs"": [""'s""]}"
To be,What's it called?,Subject + to be,"{""special"": [""'s""]}"
Questions,What's it called?,Question word + aux + subject + verb,"{""special"": [""What""]}"
Present simple,OK. There you go.,Subject + verb (present),"{""verbs"": [""go""]}"
Present simple,# He has pickles,Subject + verb (present),"{""verbs"": [""has""]}"
Present simple,# And he has cheese,Subject + verb (present),"{""verbs"": [""has""]}"
Connecting words,# And he has cheese,clause + and/but/because + clause,"{""special"": [""And""]}"
Past simple,"# He was a weiner, but now he’s a Burger Dog",Pronouns + verb (past),"{""verbs"": [""was""]}"
To be,"# He was a weiner, but now he’s a Burger Dog",Subject + to be,"{""special"": [""was""]}"
Connecting words,"# He was a weiner, but now he’s a Burger Dog",clause + and/but/because + clause,"{""special"": [""but""]}"
Past simple,"Ah, sorry, kids – my phone's ran out of battery.",Pronouns + verb (past),"{""verbs"": [""ran""]}"
Possessives,"Ah, sorry, kids – my phone's ran out of battery.",possessive + noun,"{""special"": [""my""]}"
Present simple,"No, it hasn't!",Subject + verb (present),"{""verbs"": [""has""]}"
Imperatives,Show us!,Verb + (object),"{""verbs"": [""Show""]}"
Present simple,[Bluey] You’re tricking us! [Bingo] Argh!,Subject + verb (present),"{""verbs"": [""\u2019re""]}"
Present simple,[Bluey] Just because the screen is black...  - Get off me!,Subject + verb (present),"{""verbs"": [""is""]}"
To be,[Bluey] Just because the screen is black...  - Get off me!,Subject + to be,"{""special"": [""is""]}"
Connecting words,[Bluey] Just because the screen is black...  - Get off me!,clause + and/but/because + clause,"{""special"": [""because""]}"
Present simple,- ...doesn’t mean it's out of battery!  - Bluey!,Subject + verb (present),"{""verbs"": [""does"", ""'s""]}"
To be,- ...doesn’t mean it's out of battery!  - Bluey!,Subject + to be,"{""special"": [""'s""]}"
Present simple,I know!,Subject + verb (present),"{""verbs"": [""know""]}"
Present simple,"Look, I really want to listen to Hamburger Dog too,",Subject + verb (present),"{""verbs"": [""want""]}"
Present simple,it's a hauntingly beautiful song.,Subject + verb (present),"{""verbs"": [""'s""]}"
To be,it's a hauntingly beautiful song.,Subject + to be,"{""special"": [""'s""]}"
Present simple,"But, you know, these new phones,",Subject + verb (present),"{""verbs"": [""know""]}"
Connecting words,"But, you know, these new phones,",clause + and/but/because + clause,"{""special"": [""But""]}"
Present simple,"when you update the software, it stops your battery.",Subject + verb (present),"{""verbs"": [""update"", ""stops""]}"
Possessives,"when you update the software, it stops your battery.",possessive + noun,"{""special"": [""your""]}"
Numbers,"You know, they're trying to make you get the flash new one. - (Groans)",Noun + verb + number + noun,"{""numbers"": [""one""]}"
Present continuous,"You know, they're trying to make you get the flash new one. - (Groans)",be + verb-ing,"{""verbs"": [""trying""], ""special"": [""'re""]}"
Present simple,But I'm not having it! - Rrr-rrr!,Subject + verb (present),"{""verbs"": [""'m""]}"
Present continuous,But I'm not having it! - Rrr-rrr!,be + verb-ing,"{""verbs"": [""having""], ""special"": [""'m""]}"
Connecting words,But I'm not having it! - Rrr-rrr!,clause + and/but/because + clause,"{""special"": [""But""]}"
Present simple,"Rrr! - It's out of battery, kid.",Subject + verb (present),"{""verbs"": [""'s""]}"
To be,"Rrr! - It's out of battery, kid.",Subject + to be,"{""special"": [""'s""]}"
Adverbs of frequency,"Trust me, I would never lie to you.",Subject + adverb + verb,"{""special"": [""never""]}"
Questions,Hello?,Question word + aux + subject + verb,"{""special"": []}"
Present simple,Are you lying to your children again?  [Bluey and Bingo] Yes.,Subject + verb (present),"{""verbs"": [""Are""]}"
Present continuous,Are you lying to your children again?  [Bluey and Bingo] Yes.,be + verb-ing,"{""verbs"": [""lying""], ""special"": [""Are""]}"
Connecting words,Are you lying to your children again?  [Bluey and Bingo] Yes.,clause + and/but/because + clause,"{""special"": [""and""]}"
Possessives,Are you lying to your children again?  [Bluey and Bingo] Yes.,possessive + noun,"{""special"": [""your""]}"
Numbers,All right. A brand new Bingo 3000.,Noun + verb + number + noun,"{""numbers"": [""3000""]}"
Directions,All right. A brand new Bingo 3000.,verb + direction,"{""special"": [""right""]}"
Imperatives,Come and check it out.,Verb + (object),"{""verbs"": [""Come""]}"
Connecting words,Come and check it out.,clause + and/but/because + clause,"{""special"": [""and""]}"
Questions,"Hey, what?",Question word + aux + subject + verb,"{""special"": [""what""]}"
Present simple,"Well, that's not right.",Subject + verb (present),"{""verbs"": [""'s""]}"
To be,"Well, that's not right.",Subject + to be,"{""special"": [""'s""]}"
Directions,"Well, that's not right.",verb + direction,"{""special"": [""right""]}"
Present simple,There we go. - Boop!,Subject + verb (present),"{""verbs"": [""go""]}"
Present simple,"Oh, man. This thing's busted.",Subject + verb (present),"{""verbs"": [""'s""]}"
To be,"Oh, man. This thing's busted.",Subject + to be,"{""special"": [""'s""]}"
To be,- (GIGGLES) - Must be a number on here somewhere.,Subject + to be,"{""special"": [""be""]}"
Prepositions,- (GIGGLES) - Must be a number on here somewhere.,noun + preposition + noun,"{""special"": [""on""]}"
Present simple,Here we go.,Subject + verb (present),"{""verbs"": [""go""]}"
Numbers,3-3-3-4-4-4-5-3-3.,Noun + verb + number + noun,"{""numbers"": [""3"", ""3"", ""3"", ""4"", ""4"", ""4"", ""5"", ""3"", ""3""]}"
Present simple,"Er, yeah, hello? Yes, I'm fine, yeah.",Subject + verb (present),"{""verbs"": [""'m""]}"
To be,"Er, yeah, hello? Yes, I'm fine, yeah.",Subject + to be,"{""special"": [""'m""]}"
Past simple,"Look, I just bought a Bingo 3000.",Pronouns + verb (past),"{""verbs"": [""bought""]}"
Numbers,"Look, I just bought a Bingo 3000.",Noun + verb + number + noun,"{""numbers"": [""3000""]}"
Present simple,I'm having some problem with the bottom kind of legs bit.,Subject + verb (present),"{""verbs"": [""'m""]}"
Present continuous,I'm having some problem with the bottom kind of legs bit.,be + verb-ing,"{""verbs"": [""having""], ""special"": [""'m""]}"
Present simple,"Yeah, you straighten them out and they just go back up. - Boop!",Subject + verb (present),"{""verbs"": [""straighten"", ""go""]}"
Connecting words,"Yeah, you straighten them out and they just go back up. - Boop!",clause + and/but/because + clause,"{""special"": [""and""]}"
Past simple,"Yeah, I tried that. Doesn't work.",Pronouns + verb (past),"{""verbs"": [""tried""]}"
