Word/Phrase,Category
eu,Pronome
tu,Pronome
ele,Pronome
ela,Pronome
nós,Pronome
você,Pronome
vocês,Pronome
eles,Pronome
elas,Pronome
meu,Determinante
minha,Determinante
teu,Determinante
tua,Determinante
seu,Determinante
sua,Determinante
nosso,Determinante
nossa,Determinante
o,Determinante
a,Determinante
os,Determinante
as,Determinante
um,Determinante
uma,Determinante
uns,Determinante
umas,Determinante
este,Determinante
esta,Determinante
esse,Determinante
essa,Determinante
aquele,Determinante
aquela,Determinante
isto,Pronome
isso,Pronome
aquilo,Pronome
poder,Auxiliar
querer,Auxiliar
dever,Auxiliar
conseguir,Auxiliar
saber,Auxiliar
ter,Auxiliar
haver,Auxiliar
ir,Auxiliar
quem,Interrogativa
que,Interrogativa
o que,Interrogativa
qual,Interrogativa
quando,Interrogativa
onde,Interrogativa
como,Interrogativa
porquê,Interrogativa
quanto,Interrogativa
quanta,Interrogativa
quantos,Interrogativa
quantas,Interrogativa
abaixo,Advérbio
abelha,Substantivo
aberto,Verbo
abrir,Verbo
absolutamente,Advérbio
acampar,Verbo
aceitar,Verbo
achar,Verbo
aço,Substantivo
acordar,Verbo
açúcar,Substantivo
adulto,Substantivo
advogado,Substantivo
aeroporto,Substantivo
afiado,Verbo
agência,Substantivo
agenda,Verbo
agora,Advérbio
agradável,Adjetivo
agradecer,Verbo
agricultor,Substantivo
água,Substantivo
aguaceiro,Advérbio
aguardar,Verbo
aí,Advérbio
ainda,Advérbio
ajudar,Verbo
alcatifa,Substantivo
álcool,Substantivo
aldeia,Substantivo
alface,Substantivo
alfândega,Verbo
algibeira,Advérbio
algodão,Verbo
alguém,Pronome
alho,Substantivo
ali,Advérbio
alimentos,Substantivo
alinhada,Verbo
almoço,Substantivo
almofada,Verbo
alojamento,Substantivo
alto,Adjetivo
altura,Substantivo
alugar,Verbo
aluno,Substantivo
amanhã,Advérbio
amar,Verbo
amarelo,Adjetivo
amargo,Substantivo
ambos,Pronome
ambulância,Substantivo
ameixa,Adjetivo
amigo,Substantivo
amor,Substantivo
ananás,Verbo
andar,Verbo
anel,Substantivo
anfitrião,Substantivo
animal,Adjetivo
aniversário,Substantivo
ano,Substantivo
ansioso,Adjetivo
anteontem,Advérbio
antes,Advérbio
antigamente,Adjetivo
anualmente,Advérbio
anúncio,Substantivo
ao,Preposição
apanhar,Verbo
aparelhagem,Substantivo
apartamento,Substantivo
apertado,Verbo
apetecer,Verbo
aprender,Verbo
aprendiz,Verbo
aproximadamente,Advérbio
aquáticos,Adjetivo
aquecer,Verbo
aquecimento,Substantivo
aqui,Advérbio
ar,Substantivo
área,Substantivo
areia,Verbo
armário,Adjetivo
arrumado,Verbo
arrumar,Verbo
arte,Substantivo
artista,Adjetivo
árvore,Substantivo
às,Preposição
aspirar,Verbo
assar,Verbo
assento,Substantivo
assinar,Verbo
assinatura,Substantivo
até,Preposição
atencioso,Adjetivo
aterrar,Verbo
atletismo,Substantivo
ator,Substantivo
atrás,Advérbio
atrasado,Verbo
atraso,Substantivo
através,Advérbio
aula,Substantivo
auto-estrada,Substantivo
auto-serviço,Substantivo
autocarro,Verbo
avaria,Adjetivo
ave,Verbo
avenida,Verbo
avião,Substantivo
avô,Substantivo
azeite,Substantivo
azul,Adjetivo
bacalhau,Substantivo
bagagem,Substantivo
baixo,Advérbio
balcão,Substantivo
banana,Adjetivo
banco,Substantivo
banhar,Verbo
banheira,Adjetivo
barato,Adjetivo
barba,Substantivo
barco,Substantivo
barra,Substantivo
barriga,Substantivo
barulhento,Adjetivo
barulho,Substantivo
basquetebol,Substantivo
bastante,Advérbio
batata,Substantivo
batatas,Substantivo
bater,Verbo
bateria,Substantivo
batom,Adjetivo
bebé,Substantivo
beber,Verbo
bebida,Verbo
beijo,Substantivo
belo,Adjetivo
bem,Advérbio
bem-vindo,Substantivo
biblioteca,Substantivo
bicicleta,Substantivo
bife,X
bilhete,Substantivo
bilheteira,Adjetivo
biologia,Substantivo
bloco,Advérbio
blusa,Substantivo
boca,Substantivo
bola,Substantivo
bolacha,Verbo
bolo,Substantivo
bom,Adjetivo
bombeiro,Substantivo
bombeiros,Substantivo
boné,Substantivo
bonito,Adjetivo
bordaa,Advérbio
bordo,Advérbio
borracha,Substantivo
borrego,Verbo
bosque/floresta,Adjetivo
bota,Substantivo
botão,Adjetivo
boxe,Adjetivo
braço,Substantivo
branco,Substantivo
brilhar,Verbo
brinco,Substantivo
brinquedo,Substantivo
brochure,Verbo
buscar,Verbo
cabeça,Substantivo
cabeleireiro,Substantivo
cabelo,Substantivo
cabina,Substantivo
caçarola,Adjetivo
cachecol,Verbo
cacifo,Substantivo
cada,Determinante
cadeira,Substantivo
caderno,Substantivo
cafeteira,Adjetivo
cair,Verbo
cais,Substantivo
caixa,Substantivo
calças,Substantivo
calções,Substantivo
calculadora,Substantivo
calmo,Adjetivo
calor,Substantivo
cama,Verbo
câmara,Substantivo
camião,Substantivo
caminho,Substantivo
caminho-de-ferro,Substantivo
camioneta,Substantivo
camisa,Substantivo
campismo,Substantivo
campista,Adjetivo
campo,Verbo
cana,Adjetivo
canal,Substantivo
canalizador,Substantivo
canção,Substantivo
caneta,Substantivo
canivete,Verbo
canoagem,Substantivo
cansado,Adjetivo
cantar,Verbo
cantina,Substantivo
cantor,Substantivo
cão,Preposição
capital,Substantivo
cara,Substantivo
caravana,Adjetivo
carcaça,Substantivo
carne,Substantivo
caro,Adjetivo
carrinha,Verbo
carro,Substantivo
carta,Substantivo
cartão,Substantivo
cartas,Substantivo
carteira,Substantivo
carteiro,Substantivo
casa,Substantivo
casaco,Adjetivo
casado,Adjetivo
casar,Verbo
castelo,Substantivo
catarata,Substantivo
catedral,Substantivo
cavalo,Substantivo
cave,Substantivo
CD/DVD,Substantivo
cebola,Adjetivo
cedo,Advérbio
cego,Substantivo
cenoura,Substantivo
centro,Substantivo
cereais,Substantivo
cereja,Verbo
certo,Determinante
cesto,Adjetivo
céu,Substantivo
chá,Substantivo
chama,Verbo
chamar-se,Verbo
champô,Substantivo
chão,Substantivo
chapéu,Substantivo
chato,Substantivo
chave,Substantivo
chávena,Adjetivo
cheap,Verbo
chefe,Substantivo
chegada,Substantivo
chegar,Verbo
cheio,Adjetivo
cheque,Adjetivo
chocolate,Verbo
chocolates,Adjetivo
chouriço,Substantivo
chover,Verbo
churrasqueira,Verbo
chuva,Substantivo
chuveiro,Verbo
chuvoso,Adjetivo
ciclismo,Substantivo
cidade,Substantivo
ciência,Substantivo
cinema,Substantivo
cinto,Substantivo
cinzento,Substantivo
circuito,Substantivo
clarinete,Verbo
claro,Advérbio
cliente,Substantivo
clima,Substantivo
clube,Substantivo
cobertor,Substantivo
cobra,Substantivo
cobrir,Verbo
código,Substantivo
coelho,Substantivo
cogumelo,Advérbio
coisa,Substantivo
colar,Verbo
colega,Substantivo
colégio,Substantivo
colher,Verbo
colina,Verbo
com,Preposição
começar,Verbo
comédia,Substantivo
comer,Verbo
cómico,Adjetivo
comida,Substantivo
como,Preposição
cómodo,Substantivo
complicado,Adjetivo
comportamento,Substantivo
comportar-se,Verbo
compota,Substantivo
comprar,Verbo
compras,Substantivo
compras),Substantivo
comprido,Adjetivo
computador,Substantivo
concerto,Substantivo
concordado,Verbo
concurso,Substantivo
congelador,Adjetivo
congelar,Verbo
conhecer,Verbo
consertar,Verbo
conserto,Nome Próprio
constipação,Substantivo
construtor,Substantivo
conta,Verbo
contente,Adjetivo
continuar,Verbo
contra,Preposição
conversar,Verbo
convidado,Substantivo
convite,Substantivo
copo,Substantivo
cor,Substantivo
coração,Substantivo
coro,Substantivo
corpo,Substantivo
corporação,Substantivo
corredor,Substantivo
correios,Substantivo
correr,Verbo
correspondência,Substantivo
correspondente,Adjetivo
corrida,Substantivo
cortar,Verbo
cortina,Substantivo
costa,Adjetivo
costas,Substantivo
costeleta,Verbo
couro,Adjetivo
couve,Preposição
couve-de-bruxelas,Substantivo
couve-flor,Substantivo
cozer,Verbo
cozinha,Substantivo
cozinhar,Verbo
cozinheiro,Adjetivo
creme,Substantivo
crescer,Verbo
criança,Substantivo
cruzamento,Substantivo
cumprimentar,Verbo
curso,Substantivo
curto,Adjetivo
curva,Verbo
damasco,Substantivo
dança,Substantivo
dançar,Verbo
dar,Verbo
dar-se,Verbo
data,Substantivo
de,Preposição
dedo,Substantivo
degrau,Substantivo
deitar-se,Verbo
deixar,Verbo
delicioso,Adjetivo
demasiado,Advérbio
dente,Advérbio
dentista,Adjetivo
dentro,Advérbio
departamentos,Substantivo
depois,Advérbio
desarrumado,Verbo
descansar,Verbo
descartar,Verbo
descobrir,Verbo
descrever,Verbo
desde,Preposição
desejar,Verbo
desejo,Substantivo
desempregado,Adjetivo
desenhar,Verbo
desenho,Substantivo
despertador,Substantivo
desporto,Substantivo
desportos,Substantivo
destino,Adjetivo
detergente,Advérbio
detestar,Verbo
detetives,Adjetivo
dever,Verbo
deveres,Substantivo
dia,Substantivo
diário,Adjetivo
dias,Substantivo
dicionário,Adjetivo
diferente,Adjetivo
difícil,Adjetivo
dinheiro,Substantivo
direção,Substantivo
director,Substantivo
direita,Substantivo
diretora,Substantivo
disciplina,Substantivo
divertido,Adjetivo
divertimento,Substantivo
doce,Adjetivo
doces,Substantivo
documentário,Substantivo
doente,Adjetivo
doentio,Substantivo
doer,Verbo
dono,Substantivo
dor,Substantivo
dormir,Verbo
dose,Substantivo
drama,Verbo
driving,Substantivo
ducha,Substantivo
durante,Preposição
e,Conjunção Coordenativa
edredão,Substantivo
educação,Substantivo
electricista,Adjetivo
eléctrico,Adjetivo
elefante,Adjetivo
elegante,Adjetivo
elevador,Substantivo
em,Preposição
ementa,Substantivo
emplastro,Pronome
empregada,Verbo
empregado,Verbo
emprego,Substantivo
emprestar,Verbo
empurrar,Verbo
encaracolado,Substantivo
encher,Substantivo
encontrar-se,Verbo
encontro,Substantivo
endereço,Substantivo
enfermeiro/enfermeira,Substantivo
engenheiro,Adjetivo
enjoo,Substantivo
enquanto,Advérbio
ensinar,Verbo
ensolarado,Verbo
então,Advérbio
entrada,Substantivo
entrar,Verbo
entre,Preposição
entrega,Verbo
entrevista,Substantivo
envelope,Substantivo
enviar,Verbo
equipa,Substantivo
equitação,Substantivo
errado,Verbo
erro,Substantivo
ervilhas,Adjetivo
escadas,Substantivo
escalope,Substantivo
escola,Substantivo
escolha,Substantivo
escolher,Verbo
escova,Verbo
escovar,Verbo
escrever,Verbo
escritório,Substantivo
escuro,Adjetivo
esferográfica,Adjetivo
esgotar,Verbo
espaço,Substantivo
espelho,Substantivo
esperar,Verbo
espinafre,Verbo
esplêndido,Verbo
esquadra,Adjetivo
esquecer,Verbo
esquerda,Substantivo
esqui,Advérbio
esquiar,Adjetivo
esquina,Substantivo
esquisito,Substantivo
esse,Determinante
estação,Substantivo
estádio,Substantivo
estágio,Substantivo
estância,Substantivo
estante,Advérbio
estar,Auxiliar
este,Pronome
estojo,Substantivo
estômago,Verbo
estou!,Auxiliar
estrada,Substantivo
estrangeiro,Adjetivo
estranho,Adjetivo
estreito,Adjetivo
estrela,Substantivo
estudante,Substantivo
estudar,Verbo
estúpido,Verbo
esvaziar,Verbo
euro,Substantivo
europeu,Adjetivo
evitar,Verbo
exame,Substantivo
exames,Substantivo
examinar,Verbo
exatamente,Advérbio
excelente,Adjetivo
excepto,Preposição
excursão,Substantivo
exemplo,Substantivo
exercício,Substantivo
exército,Adjetivo
Exmo.,Nome Próprio
expensive),Substantivo
experiência,Substantivo
fábrica,Substantivo
faca,Verbo
fácil,Adjetivo
faculdade,Substantivo
falar,Verbo
faltar,Verbo
família,Substantivo
fantástico,Adjetivo
farmácia,Verbo
farol,Substantivo
fatia,Verbo
fato,Substantivo
favorável,Adjetivo
favorito,Substantivo
fax,Substantivo
fazer,Verbo
febre,Substantivo
fechado,Verbo
fechar,Verbo
feijão,Adjetivo
