Word/Phrase	Category


eu	PRON
tu	PRON
ele	PRON
ela	PRON
nós	PRON
você	PRON
vocês	PRON
eles	PRON
elas	PRON
meu	DET
minha	DET
teu	DET
tua	DET
seu	DET
sua	DET
nosso	DET
nossa	DET

o	DET
a	DET
os	DET
as	DET
um	DET
uma	DET
uns	DET
umas	DET
este	DET
esta	DET
esse	DET
essa	DET
aquele	DET
aquela	DET
isto	PRON
isso	PRON
aquilo	PRON
poder	AUX
querer	AUX
dever	AUX
conseguir	AUX
saber	AUX
ter	AUX
haver	AUX
ir	AUX
quem	INT
que	INT
o que	INT
qual	INT
quando	INT
onde	INT
como	INT
porquê	INT
quanto	INT
quanta	INT
quantos	INT
quantas	INT
abaixo	ADV
abelha	NOUN
aberto	VERB
abrir	VERB
absolutamente	ADV
acampar	VERB
aceitar	VERB
achar	VERB
aço	NOUN
acordar	VERB
açúcar	NOUN
adulto	NOUN
advogado	NOUN
aeroporto	NOUN
afiado	VERB
agência	NOUN
agenda	VERB
agora	ADV
agradável	ADJ
agradecer	VERB
agricultor	NOUN
água	NOUN
aguaceiro	ADV
aguardar	VERB
aí	ADV
ainda	ADV
ajudar	VERB
alcatifa	NOUN
álcool	NOUN
aldeia	NOUN
alface	NOUN
alfândega	VERB
algibeira	ADV
algodão	VERB
alguém	PRON
alho	NOUN
ali	ADV
alimentos	NOUN
alinhada	VERB
almoço	NOUN
almofada	VERB
alojamento	NOUN
alto	ADJ
altura	NOUN
alugar	VERB
aluno	NOUN
amanhã	ADV
amar	VERB
amarelo	ADJ
amargo	NOUN
ambos	PRON
ambulância	NOUN
ameixa	ADJ
amigo	NOUN
amor	NOUN
ananás	VERB
andar	VERB
anel	NOUN
anfitrião	NOUN
animal	ADJ
aniversário	NOUN
ano	NOUN
ansioso	ADJ
anteontem	ADV
antes	ADV
antigamente	ADJ
anualmente	ADV
anúncio	NOUN
ao	ADP
apanhar	VERB
aparelhagem	NOUN
apartamento	NOUN
apertado	VERB
apetecer	VERB
aprender	VERB
aprendiz	VERB
aproximadamente	ADV
aquáticos	ADJ
aquecer	VERB
aquecimento	NOUN
aqui	ADV
ar	NOUN
área	NOUN
areia	VERB
armário	ADJ
arrumado	VERB
arrumar	VERB
arte	NOUN
artista	ADJ
árvore	NOUN
às	ADP
aspirar	VERB
assar	VERB
assento	NOUN
assinar	VERB
assinatura	NOUN
até	ADP
atencioso	ADJ
aterrar	VERB
atletismo	NOUN
ator	NOUN
atrás	ADV
atrasado	VERB
atraso	NOUN
através	ADV
aula	NOUN
auto-estrada	NOUN
auto-serviço	NOUN
autocarro	VERB
avaria	ADJ
ave	VERB
avenida	VERB
avião	NOUN
avô	NOUN
azeite	NOUN
azul	ADJ
bacalhau	NOUN
bagagem	NOUN
baixo	ADV
balcão	NOUN
banana	ADJ
banco	NOUN
banhar	VERB
banheira	ADJ
barato	ADJ
barba	NOUN
barco	NOUN
barra	NOUN
barriga	NOUN
barulhento	ADJ
barulho	NOUN
basquetebol	NOUN
bastante	ADV
batata	NOUN
batatas	NOUN
bater	VERB
bateria	NOUN
batom	ADJ
bebé	NOUN
beber	VERB
bebida	VERB
beijo	NOUN
belo	ADJ
