Conjugated,Infinitive,Tense,Person,Number
abro,abrir,Present,1st,Singular
abri,abrir,Past,1st,Singular
abres,abrir,Present,2nd,Singular
abriste,abrir,Past,2nd,Singular
abre,abrir,Present,3rd,Singular
abriu,abrir,Past,3rd,Singular
abrimos,abrir,Present,1st,Plural
abrimos,abrir,Past,1st,Plural
abris,abrir,Present,2nd,Plural
abristes,abrir,Past,2nd,Plural
abrem,abrir,Present,3rd,Plural
abriram,abrir,Past,3rd,Plural
abrindo,abrir,Gerund,N/A,N/A
acampo,acampar,Present,1st,Singular
acampei,acampar,Past,1st,Singular
acampas,acampar,Present,2nd,Singular
acampaste,acampar,Past,2nd,Singular
acampa,acampar,Present,3rd,Singular
acampou,acampar,Past,3rd,Singular
acampamos,acampar,Present,1st,Plural
acampámos,acampar,Past,1st,Plural
acampais,acampar,Present,2nd,Plural
acampastes,acampar,Past,2nd,Plural
acampam,acampar,Present,3rd,Plural
acamparam,acampar,Past,3rd,Plural
acampando,acampar,Gerund,N/A,N/A
aceito,aceitar,Present,1st,Singular
aceitei,aceitar,Past,1st,Singular
aceitas,aceitar,Present,2nd,Singular
aceitaste,aceitar,Past,2nd,Singular
aceita,aceitar,Present,3rd,Singular
aceitou,aceitar,Past,3rd,Singular
aceitamos,aceitar,Present,1st,Plural
aceitámos,aceitar,Past,1st,Plural
aceitais,aceitar,Present,2nd,Plural
aceitastes,aceitar,Past,2nd,Plural
aceitam,aceitar,Present,3rd,Plural
aceitaram,aceitar,Past,3rd,Plural
aceitando,aceitar,Gerund,N/A,N/A
acho,achar,Present,1st,Singular
achei,achar,Past,1st,Singular
achas,achar,Present,2nd,Singular
achaste,achar,Past,2nd,Singular
acha,achar,Present,3rd,Singular
achou,achar,Past,3rd,Singular
achamos,achar,Present,1st,Plural
achámos,achar,Past,1st,Plural
achais,achar,Present,2nd,Plural
achastes,achar,Past,2nd,Plural
acham,achar,Present,3rd,Plural
acharam,achar,Past,3rd,Plural
achando,achar,Gerund,N/A,N/A
acordo,acordar,Present,1st,Singular
acordei,acordar,Past,1st,Singular
acordas,acordar,Present,2nd,Singular
acordaste,acordar,Past,2nd,Singular
acorda,acordar,Present,3rd,Singular
acordou,acordar,Past,3rd,Singular
acordamos,acordar,Present,1st,Plural
acordámos,acordar,Past,1st,Plural
acordais,acordar,Present,2nd,Plural
acordastes,acordar,Past,2nd,Plural
acordam,acordar,Present,3rd,Plural
acordaram,acordar,Past,3rd,Plural
acordando,acordar,Gerund,N/A,N/A
agradeco,agradecer,Present,1st,Singular
agradeci,agradecer,Past,1st,Singular
agradeces,agradecer,Present,2nd,Singular
agradeceste,agradecer,Past,2nd,Singular
agradece,agradecer,Present,3rd,Singular
agradeceu,agradecer,Past,3rd,Singular
agradecemos,agradecer,Present,1st,Plural
agradecemos,agradecer,Past,1st,Plural
agradeceis,agradecer,Present,2nd,Plural
agradecestes,agradecer,Past,2nd,Plural
agradecem,agradecer,Present,3rd,Plural
agradeceram,agradecer,Past,3rd,Plural
agradecendo,agradecer,Gerund,N/A,N/A
aguardo,aguardar,Present,1st,Singular
aguardei,aguardar,Past,1st,Singular
aguardas,aguardar,Present,2nd,Singular
aguardaste,aguardar,Past,2nd,Singular
aguarda,aguardar,Present,3rd,Singular
aguardou,aguardar,Past,3rd,Singular
aguardamos,aguardar,Present,1st,Plural
aguardámos,aguardar,Past,1st,Plural
aguardais,aguardar,Present,2nd,Plural
aguardastes,aguardar,Past,2nd,Plural
aguardam,aguardar,Present,3rd,Plural
aguardaram,aguardar,Past,3rd,Plural
aguardando,aguardar,Gerund,N/A,N/A
ajudo,ajudar,Present,1st,Singular
ajudei,ajudar,Past,1st,Singular
ajudas,ajudar,Present,2nd,Singular
ajudaste,ajudar,Past,2nd,Singular
ajuda,ajudar,Present,3rd,Singular
ajudou,ajudar,Past,3rd,Singular
ajudamos,ajudar,Present,1st,Plural
ajudámos,ajudar,Past,1st,Plural
ajudais,ajudar,Present,2nd,Plural
ajudastes,ajudar,Past,2nd,Plural
ajudam,ajudar,Present,3rd,Plural
ajudaram,ajudar,Past,3rd,Plural
ajudando,ajudar,Gerund,N/A,N/A
alugo,alugar,Present,1st,Singular
alugei,alugar,Past,1st,Singular
alugas,alugar,Present,2nd,Singular
alugaste,alugar,Past,2nd,Singular
aluga,alugar,Present,3rd,Singular
alugou,alugar,Past,3rd,Singular
alugamos,alugar,Present,1st,Plural
alugámos,alugar,Past,1st,Plural
alugais,alugar,Present,2nd,Plural
alugastes,alugar,Past,2nd,Plural
alugam,alugar,Present,3rd,Plural
alugaram,alugar,Past,3rd,Plural
alugando,alugar,Gerund,N/A,N/A
amo,amar,Present,1st,Singular
amei,amar,Past,1st,Singular
amas,amar,Present,2nd,Singular
amaste,amar,Past,2nd,Singular
ama,amar,Present,3rd,Singular
amou,amar,Past,3rd,Singular
amamos,amar,Present,1st,Plural
amámos,amar,Past,1st,Plural
amais,amar,Present,2nd,Plural
amastes,amar,Past,2nd,Plural
amam,amar,Present,3rd,Plural
amaram,amar,Past,3rd,Plural
amando,amar,Gerund,N/A,N/A
ando,andar,Present,1st,Singular
andei,andar,Past,1st,Singular
andas,andar,Present,2nd,Singular
andaste,andar,Past,2nd,Singular
anda,andar,Present,3rd,Singular
andou,andar,Past,3rd,Singular
andamos,andar,Present,1st,Plural
andámos,andar,Past,1st,Plural
andais,andar,Present,2nd,Plural
andastes,andar,Past,2nd,Plural
andam,andar,Present,3rd,Plural
andaram,andar,Past,3rd,Plural
andando,andar,Gerund,N/A,N/A
apanho,apanhar,Present,1st,Singular
apanhei,apanhar,Past,1st,Singular
apanhas,apanhar,Present,2nd,Singular
apanhaste,apanhar,Past,2nd,Singular
apanha,apanhar,Present,3rd,Singular
apanhou,apanhar,Past,3rd,Singular
apanhamos,apanhar,Present,1st,Plural
apanhámos,apanhar,Past,1st,Plural
apanhais,apanhar,Present,2nd,Plural
apanhastes,apanhar,Past,2nd,Plural
apanham,apanhar,Present,3rd,Plural
apanharam,apanhar,Past,3rd,Plural
apanhando,apanhar,Gerund,N/A,N/A
apeteco,apetecer,Present,1st,Singular
apeteci,apetecer,Past,1st,Singular
apeteces,apetecer,Present,2nd,Singular
apeteceste,apetecer,Past,2nd,Singular
apetece,apetecer,Present,3rd,Singular
apeteceu,apetecer,Past,3rd,Singular
apetecemos,apetecer,Present,1st,Plural
apetecemos,apetecer,Past,1st,Plural
apeteceis,apetecer,Present,2nd,Plural
apetecestes,apetecer,Past,2nd,Plural
apetecem,apetecer,Present,3rd,Plural
apeteceram,apetecer,Past,3rd,Plural
apetecendo,apetecer,Gerund,N/A,N/A
aprendo,aprender,Present,1st,Singular
aprendi,aprender,Past,1st,Singular
aprendes,aprender,Present,2nd,Singular
aprendeste,aprender,Past,2nd,Singular
aprende,aprender,Present,3rd,Singular
aprendeu,aprender,Past,3rd,Singular
aprendemos,aprender,Present,1st,Plural
aprendemos,aprender,Past,1st,Plural
aprendeis,aprender,Present,2nd,Plural
aprendestes,aprender,Past,2nd,Plural
aprendem,aprender,Present,3rd,Plural
aprenderam,aprender,Past,3rd,Plural
aprendendo,aprender,Gerund,N/A,N/A
aqueco,aquecer,Present,1st,Singular
aqueci,aquecer,Past,1st,Singular
aqueces,aquecer,Present,2nd,Singular
aqueceste,aquecer,Past,2nd,Singular
aquece,aquecer,Present,3rd,Singular
aqueceu,aquecer,Past,3rd,Singular
aquecemos,aquecer,Present,1st,Plural
aquecemos,aquecer,Past,1st,Plural
aqueceis,aquecer,Present,2nd,Plural
aquecestes,aquecer,Past,2nd,Plural
aquecem,aquecer,Present,3rd,Plural
aqueceram,aquecer,Past,3rd,Plural
aquecendo,aquecer,Gerund,N/A,N/A
arrumo,arrumar,Present,1st,Singular
arrumei,arrumar,Past,1st,Singular
arrumas,arrumar,Present,2nd,Singular
